"SHORT_CODE","START_DATE","EVENT_TYPE","CALL_TYPE","SUBSCRIBER_TYPE","KEYWORD","NB_TAXATION","AMOUNT"
"2168000",08/05/2026,"74","VAS","HYB","dsc",1,25
"2168000",08/05/2026,"74","VAS","HYB","mo2",1,35
"2168000",09/05/2026,"74","VAS","PREPAID","9is",7006,24521
"2168000",09/05/2026,"74","VAS","PREPAID","ww",12440,6220
"2168000",09/05/2026,"74","VAS","PREPAID","tts",3378,1689
"2168000",09/05/2026,"74","VAS","PREPAID","sw1",7136,42816
"21685085",09/05/2026,"74","VAS","PREPAID","_N",336,48384
"2168000",09/05/2026,"74","VAS","HYB","qe3",95,5225
"2168000",09/05/2026,"74","VAS","HYB","raf",600,300
"2168590604",09/05/2026,"75","VAS","PREPAID","_N",2761,171182
"21685856",09/05/2026,"75","VAS","HYB","_N",229,1603
"21685515",09/05/2026,"75","VAS","HYB","_N",434,2387
"21685515",09/05/2026,"75","VAS","PREPAID","_N",3747,206085
"21685008",09/05/2026,"75","VAS","HYB","_N",51,1275
"2168000",09/05/2026,"74","VAS","HYB","tts",157,785
"2168000",09/05/2026,"74","VAS","PREPAID","cpt",415,22825
"2168590604",09/05/2026,"75","VAS","HYB","_N",82,5084
"2168000",09/05/2026,"74","VAS","PREPAID","dst",71,1775
"2168000",09/05/2026,"74","VAS","PREPAID","nj2",53,371
"2168000",09/05/2026,"74","VAS","HYB","est1",24,108
"2168000",09/05/2026,"74","VAS","PREPAID","dse",236,59
"2168000",09/05/2026,"74","VAS","HYB","esp",158,79
"216855193",09/05/2026,"75","VAS","HYB","_N",59,826
"2168000",09/05/2026,"74","VAS","HYB","cpt",26,143
"21685822",09/05/2026,"74","VAS","PREPAID","_N",1,25
"2168000",09/05/2026,"74","VAS","PREPAID","vib1",3,15
"2168000",09/05/2026,"74","VAS","HYB","taw2",1,35
"2168000",09/05/2026,"74","VAS","HYB","mo1",61,366
"2168000",09/05/2026,"74","VAS","PREPAID","sh2",14,20986
"21685940",09/05/2026,"74","VAS","PREPAID","_N",2,18
"2168000",09/05/2026,"74","VAS","HYB","ajw2",4,24
"2168000",09/05/2026,"74","VAS","HYB","nj3",1,2
"2168000",09/05/2026,"74","VAS","PREPAID","kid2",1,9
"2168000",09/05/2026,"74","VAS","HYB","se2",2,14
"2168590602",10/05/2026,"75","VAS","PREPAID","_N",9261,46305
"2168590601",10/05/2026,"75","VAS","PREPAID","_N",8768,4384
"21685353",10/05/2026,"75","VAS","PREPAID","_N",6342,19026
"2168560602",10/05/2026,"75","VAS","PREPAID","_N",3151,141795
"2168000",10/05/2026,"74","VAS","PREPAID","kow3",8787,52722
"21685098",10/05/2026,"75","VAS","PREPAID","_N",8271,372195
"2168000",10/05/2026,"74","VAS","PREPAID","raf",11748,5874
"2168000",10/05/2026,"74","VAS","PREPAID","tj",3522,15849
"2168000",10/05/2026,"74","VAS","PREPAID","viu1",1796,898
"2168000",10/05/2026,"74","VAS","PREPAID","fig",7293,401115
"21685098",10/05/2026,"75","VAS","HYB","_N",765,34425
"2168000",10/05/2026,"74","VAS","HYB","kow3",432,2592
"2168000",10/05/2026,"74","VAS","PREPAID","cpt",381,20955
"2168000",10/05/2026,"74","VAS","HYB","mel1",16,72
"2168000",10/05/2026,"74","VAS","PREPAID","ds",616,2772
"21685988",10/05/2026,"74","VAS","PREPAID","_N",83,1245
"2168000",10/05/2026,"74","VAS","HYB","ab1",140,70
"2168000",10/05/2026,"74","VAS","PREPAID","dsa",63,2835
"21685857",10/05/2026,"75","VAS","HYB","_N",156,1092
"2168000",10/05/2026,"74","VAS","HYB","fig2",166,913
"216855194",10/05/2026,"75","VAS","PREPAID","_N",207,15525
"2168000",10/05/2026,"74","VAS","HYB","gm",161,644
"2168000",10/05/2026,"74","VAS","HYB","tts",151,755
"2168000",10/05/2026,"74","VAS","HYB","qe1",14,98
"2168000",10/05/2026,"74","VAS","HYB","sh2",6,8994
"216855202",10/05/2026,"75","VAS","PREPAID","_N",2,7
"2168000",11/05/2026,"74","VAS","PREPAID","cf",4453,22265
"2168000",11/05/2026,"74","VAS","PREPAID","sw1",7106,42636
"2168000",11/05/2026,"74","VAS","HYB","taw1",620,372
"2168000",11/05/2026,"74","VAS","PREPAID","kow",27140,16284
"2168000",11/05/2026,"74","VAS","PREPAID","mo1",1044,6264
"21685515",11/05/2026,"75","VAS","PREPAID","_N",3725,204875
"2168000",11/05/2026,"74","VAS","PREPAID","est1",1485,66825
"2168000",11/05/2026,"74","VAS","PREPAID","lig1",4367,21835
"2168000",11/05/2026,"74","VAS","PREPAID","raf1",817,4085
"21685353",11/05/2026,"75","VAS","HYB","_N",415,1245
"21685351",11/05/2026,"75","VAS","PREPAID","_N",1039,7273
"2168000",11/05/2026,"74","VAS","PREPAID","kid1",964,4338
"2168000",11/05/2026,"74","VAS","HYB","es1",358,179
"2168000",11/05/2026,"74","VAS","HYB","cpr",536,1608
"2168000",11/05/2026,"74","VAS","HYB","ra1",283,1415
"2168000",11/05/2026,"74","VAS","PREPAID","dsc",20,5
"21685353",11/05/2026,"74","VAS","PREPAID","_N",5,75
"21685085",11/05/2026,"74","VAS","PREPAID","_N",257,37008
"2168000",11/05/2026,"74","VAS","PREPAID","se2",11,77
"21685510",11/05/2026,"74","VAS","HYB","_N",6,12
"21685401",11/05/2026,"74","VAS","PREPAID","_N",1,5
"2168000",11/05/2026,"74","VAS","PREPAID","mo2",8,28
"21685008",11/05/2026,"74","VAS","PREPAID","_N",1,5
"2168000",11/05/2026,"74","VAS","PREPAID","est2",1,4
"2168000",12/05/2026,"74","VAS","PREPAID","rtt1",13697,616365
"2168000",12/05/2026,"74","VAS","HYB","kow3",478,2868
"2168000",12/05/2026,"74","VAS","PREPAID","exs1",465,279
"216853771",12/05/2026,"75","VAS","PREPAID","_N",4438,15533
"2168000",12/05/2026,"74","VAS","PREPAID","mb1",38132,19066
"2168560601",12/05/2026,"75","VAS","PREPAID","_N",4793,215685
"2168000",12/05/2026,"74","VAS","PREPAID","fig",7534,41437
"2168000",12/05/2026,"74","VAS","PREPAID","fig2",1255,69025
"2168000",12/05/2026,"74","VAS","PREPAID","ouk1",7325,36625
"21685220",12/05/2026,"75","VAS","PREPAID","_N",8970,3588
"2168000",12/05/2026,"74","VAS","PREPAID","raf",12809,64045
"2168000",12/05/2026,"74","VAS","PREPAID","se1",5228,36596
"21685353",12/05/2026,"75","VAS","PREPAID","_N",6695,20085
"21685555",12/05/2026,"74","VAS","PREPAID","_N",21,189
"2168000",12/05/2026,"74","VAS","HYB","tts",161,805
"21685856",12/05/2026,"75","VAS","HYB","_N",187,1309
"2168000",12/05/2026,"74","VAS","HYB","qe3",93,5115
"21685220",12/05/2026,"75","VAS","HYB","_N",273,1092
"216855193",12/05/2026,"75","VAS","HYB","_N",57,798
"216855194",12/05/2026,"75","VAS","PREPAID","_N",161,12075
"2168000",12/05/2026,"74","VAS","HYB","mo1",65,39
"21685857",12/05/2026,"75","VAS","HYB","_N",137,959
"2168000",12/05/2026,"74","VAS","HYB","exs1",39,234
"21685353",12/05/2026,"74","VAS","PREPAID","_N",9,135
"2168000",12/05/2026,"74","VAS","HYB","raf1",26,13
"2168000",12/05/2026,"74","VAS","HYB","nj2",4,28
"2168000",12/05/2026,"74","VAS","PREPAID","bus2",2,5
"21685510",12/05/2026,"74","VAS","HYB","_N",2,4
"2168000",12/05/2026,"74","VAS","HYB","dst",5,125
"21685351",12/05/2026,"74","VAS","PREPAID","_N",1,49
"2168000",12/05/2026,"74","VAS","HYB","dsc",1,25
"21685940",12/05/2026,"74","VAS","PREPAID","_N",1,9
"2168000",12/05/2026,"74","VAS","PREPAID","vib1",3,15
"2168000",13/05/2026,"74","VAS","PREPAID","kow3",9649,57894
"2168000",13/05/2026,"74","VAS","PREPAID","9is",7244,25354
"2168000",13/05/2026,"74","VAS","HYB","mb1",3874,1937
"21685198",13/05/2026,"75","VAS","PREPAID","_N",2845,14225
"2168000",13/05/2026,"74","VAS","PREPAID","plw1",20188,10094
"2168000",13/05/2026,"74","VAS","PREPAID","ra1",3285,16425
"2168000",13/05/2026,"74","VAS","PREPAID","gm",9573,38292
"2168000",13/05/2026,"74","VAS","PREPAID","se1",5277,36939
"2168000",13/05/2026,"74","VAS","PREPAID","mel1",1965,88425
"2168000",13/05/2026,"74","VAS","PREPAID","kid1",953,42885
"216855201",13/05/2026,"75","VAS","HYB","_N",1478,739
"21685001",13/05/2026,"75","VAS","PREPAID","_N",821,20525
"2168590601",13/05/2026,"75","VAS","HYB","_N",528,264
"2168000",13/05/2026,"74","VAS","HYB","mel1",46,207
"21685555",12/05/2026,"74","VAS","HYB","_N",1,9
"2168000",13/05/2026,"74","VAS","HYB","kow3",492,2952
"2168000",13/05/2026,"74","VAS","PREPAID","qe4",25,10
"2168000",13/05/2026,"74","VAS","PREPAID","dst",68,17
"2168590604",13/05/2026,"75","VAS","HYB","_N",68,4216
"21685988",13/05/2026,"74","VAS","HYB","_N",18,27
"2168000",13/05/2026,"74","VAS","HYB","dsa",7,315
"216855194",13/05/2026,"75","VAS","HYB","_N",5,375
"21685510",13/05/2026,"74","VAS","HYB","_N",6,12
"2168000",13/05/2026,"74","VAS","PREPAID","ich1",1,6
"21685012",13/05/2026,"74","VAS","PREPAID","_N",1,36
"2168000",13/05/2026,"74","VAS","PREPAID","vib1",3,15
"2168000",14/05/2026,"74","VAS","PREPAID","plw1",20517,102585
"2168590603",14/05/2026,"75","VAS","PREPAID","_N",4294,266228
"2168000",14/05/2026,"74","VAS","PREPAID","sw1",7451,44706
"2168000",14/05/2026,"74","VAS","PREPAID","est1",1477,66465
"21685051",14/05/2026,"75","VAS","HYB","_N",73,73
"2168000",14/05/2026,"74","VAS","PREPAID","rtt1",14537,654165
"2168000",14/05/2026,"74","VAS","PREPAID","tth",1149,51705
"2168000",14/05/2026,"74","VAS","PREPAID","es1",7787,38935
"2168000",14/05/2026,"74","VAS","PREPAID","nj1",3368,6736
"2168000",14/05/2026,"74","VAS","HYB","smt1",605,21175
"2168000",14/05/2026,"74","VAS","PREPAID","viu1",1843,9215
"2168560601",14/05/2026,"75","VAS","HYB","_N",157,7065
"2168000",14/05/2026,"74","VAS","HYB","dse",44,11
"216855194",14/05/2026,"75","VAS","PREPAID","_N",276,207
"2168560603",14/05/2026,"75","VAS","HYB","_N",218,981
"2168000",14/05/2026,"74","VAS","PREPAID","dsc",19,475
"2168000",14/05/2026,"74","VAS","HYB","sw1",137,822
"216855195",14/05/2026,"75","VAS","PREPAID","_N",5,125
"21685555",14/05/2026,"74","VAS","HYB","_N",1,9
"2168000",15/05/2026,"74","VAS","HYB","rtt1",762,3429
"2168000",15/05/2026,"74","VAS","PREPAID","mo1",974,5844
"2168000",15/05/2026,"74","VAS","HYB","9is",186,651
"2168590601",15/05/2026,"75","VAS","PREPAID","_N",9764,4882
"2168560601",15/05/2026,"75","VAS","PREPAID","_N",4904,22068
"2168000",15/05/2026,"74","VAS","PREPAID","taw1",5867,35202
"21685098",15/05/2026,"75","VAS","PREPAID","_N",9780,4400659
"21685353",15/05/2026,"75","VAS","HYB","_N",457,1371
"2168000",15/05/2026,"74","VAS","PREPAID","elj1",2299,9196
"2168000",15/05/2026,"74","VAS","PREPAID","exs1",506,3036
"2168000",15/05/2026,"74","VAS","HYB","taw1",671,4026
"21685875",15/05/2026,"75","VAS","HYB","_N",262,2096
"21685008",15/05/2026,"75","VAS","PREPAID","_N",827,20675
"2168000",15/05/2026,"74","VAS","HYB","fig",321,17655
"2168000",15/05/2026,"74","VAS","PREPAID","nj1",3219,6438
"2168000",15/05/2026,"74","VAS","HYB","esl1",302,151
"2168000",15/05/2026,"74","VAS","HYB","ww",649,3245
"2168000",15/05/2026,"74","VAS","HYB","est1",28,126
"21685351",15/05/2026,"75","VAS","PREPAID","_N",1043,7301
"2168560603",15/05/2026,"75","VAS","HYB","_N",192,864
"21685510",15/05/2026,"74","VAS","HYB","_N",43,86
"2168000",15/05/2026,"74","VAS","PREPAID","dst",77,1925
"21685999",15/05/2026,"74","VAS","PREPAID","_N",12,1728
"2168000",15/05/2026,"74","VAS","HYB","gm",163,652
"2168000",15/05/2026,"74","VAS","HYB","kid1",74,333
"2168000",15/05/2026,"74","VAS","HYB","dsc",3,75
"2168000",15/05/2026,"74","VAS","HYB","nj2",5,35
"2168000",15/05/2026,"74","VAS","HYB","taw2",2,7
"216855195",15/05/2026,"75","VAS","PREPAID","_N",1,25
"2168000",16/05/2026,"74","VAS","PREPAID","ajw1",4940,2964
"2168000",16/05/2026,"74","VAS","PREPAID","mb1",37161,185805
"2168000",16/05/2026,"74","VAS","HYB","plw1",3599,17995
"21685875",16/05/2026,"75","VAS","PREPAID","_N",4002,32016
"2168000",16/05/2026,"74","VAS","PREPAID","rtt1",13527,608715
"2168000",16/05/2026,"74","VAS","PREPAID","kow3",10346,62076
"2168000",16/05/2026,"74","VAS","PREPAID","cf",4433,22165
"2168000",16/05/2026,"74","VAS","HYB","kow",1182,7092
"2168000",16/05/2026,"74","VAS","HYB","rtt1",701,31545
"21685580",16/05/2026,"74","VAS","PREPAID","_N",31,465
