"SHORT_CODE","START_DATE","EVENT_TYPE","CALL_TYPE","EVENT_STATUS","SUBSCRIBER_TYPE","KEYWORD","NB_TAXATION"
"2168000",07/05/2026,"74","VAS","Success","PREPAID","esp",2352
"216855193",06/05/2026,"75","VAS","Success","PREPAID","_N",3400
"21685585",06/05/2026,"74","VAS","Success","HYB","_N",1
"21685001",06/05/2026,"75","VAS","Success","HYB","_N",68
"2168000",07/05/2026,"74","VAS","Success","HYB","elj1",113
"2168000",07/05/2026,"74","VAS","Success","PREPAID","mel1",1966
"2168000",07/05/2026,"74","VAS","Success","HYB","esp",153
"21685666",07/05/2026,"74","VAS","Success","HYB","_N",20
"2168000",07/05/2026,"74","VAS","Success","PREPAID","taw2",11
"2168000",07/05/2026,"74","VAS","Success","HYB","nj1",71
"2168000",07/05/2026,"74","VAS","Success","PREPAID","dsc",7
"21685515",07/05/2026,"75","VAS","Success","HYB","_N",393
"21685988",07/05/2026,"74","VAS","Success","PREPAID","_N",400
"21685198",07/05/2026,"75","VAS","Success","PREPAID","_N",4501
"21685353",07/05/2026,"75","VAS","Success","HYB","_N",3186
"21685198",07/05/2026,"75","VAS","Success","HYB","_N",263
"2168560601",07/05/2026,"75","VAS","Success","HYB","_N",164
"21685085",07/05/2026,"74","VAS","Success","HYB","_N",9
"21685220",07/05/2026,"75","VAS","Success","HYB","_N",296
"21685353",07/05/2026,"74","VAS","Success","PREPAID","_N",13
"21685351",07/05/2026,"75","VAS","Success","POSTPAID","_N",9
"2168728",07/05/2026,"74","VAS","Success","PREPAID","_N",4
"2168000",07/05/2026,"74","VAS","Success","HYB","mo2",1
"21685005",07/05/2026,"74","VAS","Success","HYB","_N",1
"2168000",08/05/2026,"74","VAS","Success","PREPAID","ab1",4534
"2168000",08/05/2026,"74","VAS","Success","HYB","ajw1",70
"2168000",08/05/2026,"74","VAS","Success","HYB","kow2",339
"2168000",08/05/2026,"74","VAS","Success","HYB","fig",306
"2168000",08/05/2026,"74","VAS","Success","PREPAID","qe1",172
"2168000",08/05/2026,"74","VAS","Success","PREPAID","raf",13035
"2168000",08/05/2026,"74","VAS","Success","PREPAID","taw1",5775
"2168000",08/05/2026,"74","VAS","Success","POSTPAID","mb1",65
"2168000",08/05/2026,"74","VAS","Success","POSTPAID","raf",2
"2168000",08/05/2026,"74","VAS","Success","HYB","too1",25
"2168000",08/05/2026,"74","VAS","Success","PREPAID","too1",622
"2168000",08/05/2026,"74","VAS","Success","PREPAID","ms",1
"2168000",08/05/2026,"74","VAS","Success","PREPAID","mo2",4
"2168000",08/05/2026,"74","VAS","Success","PREPAID","se1",5425
